identifier,short,question,qPosition,gseCode,gseType,checkRelated,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
bumpersTecho,Bumpers techo,¿Hay protección de caucho (bumpers) para aviones en las esquinas del techo?,4,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
frenoMano,Freno de mano,¿Está funcionando el freno de mano/estacionamiento adecuadamente?,6,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
brazoEngancheRemolque,Brazo y enganche de remolque,¿Están el brazo de remolque y el enganche de remolque en buenas condiciones y sin daños?,7,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",8,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
conexionesMangueraCabezal,Cables y conexiones de cabezal,¿Están en buenas condiciones las conexiones de la manguera y el cabezal?,9,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",10,"ACU,AC",CART - AIR CONDITION UNIT (ACU),ACU,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,4,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
frenoEstacionamiento,Freno de estacionamiento,¿Está funcionando el freno de estacionamiento?,5,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
barraTiro,Barra de tiro,¿La barra de tiro gira suevemente durante su manipulacion?,6,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",7,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
galometroManometro,Galómetro y monómetro,¿El galometro y manometro funcionan correctamente?,8,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
mangueraSuministro,Manguera de suministro,¿La manguera de suministro de agua potable se encuentra en buenas condiciones y sin signos visibles de infeccion?,9,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",10,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,"PWC,WSC",CART - WATER,Agua Potable Remolcable,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,LSC,CART - LAVATORY,Aguas Negras Remolcable,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,LSC,CART - LAVATORY,Aguas Negras Remolcable,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,LSC,CART - LAVATORY,Aguas Negras Remolcable,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,4,LSC,CART - LAVATORY,Aguas Negras Remolcable,
frenoEstacionamiento,Freno de estacionamiento,¿Está funcionando el freno de estacionamiento?,5,LSC,CART - LAVATORY,Aguas Negras Remolcable,
barraTiro,Barra de tiro,¿La barra de tiro gira suevemente durante su manipulacion?,6,LSC,CART - LAVATORY,Aguas Negras Remolcable,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",7,LSC,CART - LAVATORY,Aguas Negras Remolcable,
galometroManometro,Galómetro y monómetro,¿El galometro y manometro funcionan correctamente?,8,LSC,,Aguas Negras Remolcable,
extintor,Extintor,"¿Hay un extintor, está dentro de la fecha de caducidad, está lleno y todos los sellos están en su lugar?",9,LSC,CART - LAVATORY,Aguas Negras Remolcable,
mangueraBoquilla,Manguera y boquilla,¿Están la manguera y boquilla de eliminación de heces en condiciones de servicio?,10,LSC,CART - LAVATORY,Aguas Negras Remolcable,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,LSC,CART - LAVATORY,Aguas Negras Remolcable,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
bumpersTecho,Bumpers techo,¿Hay protección de caucho (bumpers) para aviones en las esquinas del techo?,4,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,5,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
frenoMano,Freno de mano,¿Está funcionando el freno de mano/estacionamiento adecuadamente?,6,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
brazoEngancheRemolque,Brazo y enganche de remolque,¿Están el brazo de remolque y el enganche de remolque en buenas condiciones y sin daños?,7,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",8,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
conexionesMangueraCabezal,Cables y conexiones de cabezal,¿Están en buenas condiciones las conexiones de la manguera y el cabezal?,9,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",10,"ASU,GP",CART - AIR START UNIT (ASU),ASU,
estadoGeneral,Estado General,"¿Está bien el estado general, es decir, sin daños?",1,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",3,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
frenoEstacionamiento,Freno de estacionamiento,¿Funciona correctamente el freno de estacionamiento?,4,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
bumpersTecho,Bumpers techo,¿Hay protección de caucho (bumpers) para aviones en las esquinas del techo?,5,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
cortinasBarras,Cortinas y barras deslizantes,¿Compruebe la fijacion de las cortinas y barras deslizantes?,6,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
tapasCojinetes,Tapas de los cojinetes,¿Están las tapas de los cojinetes de las ruedas en su lugar y presentes?,7,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
engancheTrasero,Enganche trasero,¿Está el enganche trasero en buenas condiciones de funcionamiento y equipado con bloqueo positivo (pasador accionado por resorte)?,8,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
barraTiro,Barra de tiro,¿Está la barra de tiro en buenas condiciones y sin signos visibles de daño (grietas/dobladuras/ojillo deformado)?,9,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
libreCorrosion,Libre de corrosión,Esta libre de corrosion el piso y/o techo?,10,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
fod,FOD,"¿El equipo se encuentra libre de FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",11,"XQC,XQ,CB",CART - BAGGAGE,Carro Equipaje,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad del operador?,5,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
cinturonConductor,Cinturones y abrazaderas,¿Están funcionando todos los cinturones de seguridad de los pasajeros?,6,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,7,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,8,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,9,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,10,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
topesGoma,Topes de goma,¿Están en buenas condiciones los topes de goma de protección de la aeronave?,11,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
barandelasSeguridad,Barandales de seguridad,¿Los barandales de seguridad funcionan sin daños?,12,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
sistemaAproximacion,Sistema de aproximación,¿Existe un sistema de aproximación de aeronaves instalado y en funcionamiento? Aplicable desde 2018,13,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
direccion,Dirección,¿Está funcionando correctamente la dirección?,14,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",15,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Funcionan los limpiaparabrisas y el lavaparabrisas?,16,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",17,PWT,TRUCK - WATER,CATERING/CLEANING TRUCK - Camión de limpieza / Comisariato,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,BUS,BUS - PASSENGER,Coach - Autobus,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,BUS,BUS - PASSENGER,Coach - Autobus,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,BUS,BUS - PASSENGER,Coach - Autobus,
pasamanosCorreas,Pasamanos y correas,¿Están en buenas condiciones los pasamanos y correas dentro del autobús?,4,BUS,BUS - PASSENGER,Coach - Autobus,
estadoGeneralInterior,Estado general al interior,"¿El estado general dentro del autobús es bueno, p.e. libre de FOD?",5,BUS,BUS - PASSENGER,Coach - Autobus,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,6,BUS,BUS - PASSENGER,Coach - Autobus,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad [área del conductor]?,7,BUS,BUS - PASSENGER,Coach - Autobus,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,8,BUS,BUS - PASSENGER,Coach - Autobus,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,9,BUS,BUS - PASSENGER,Coach - Autobus,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,10,BUS,BUS - PASSENGER,Coach - Autobus,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,11,BUS,BUS - PASSENGER,Coach - Autobus,
direccion,Dirección,¿Está funcionando correctamente la dirección?,12,BUS,BUS - PASSENGER,Coach - Autobus,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",13,BUS,BUS - PASSENGER,Coach - Autobus,
limpiaLavaParabrisas,Limpiaparabrisas y lavaparabrisas,¿Los limpiaparabrisas y el lavaparabrisas funcionan [motorizados]?,14,BUS,BUS - PASSENGER,Coach - Autobus,
fugasDerramesFod,"Fugas, derrames y FOD","¿El equipo se encuentra libre de fugas, derrames visibles, FOD y se asegura que NO existan objetos sospechosos y/o prohibidos ocultos en el interior y exterior del equipo (guanteras(si aplica),salpicaderas, cabina, debajo de asientos, motor etc.)?",15,BUS,BUS - PASSENGER,Coach - Autobus,
estadoGeneral,Estado general,"¿Está bien el estado general, es decir, sin daños?",1,CBL,LOADER - BELT,Conveyor,
advertenciasSeguridad,Advertencias de seguridad,¿Están todas las advertencias de seguridad presentes y legibles?,2,CBL,LOADER - BELT,Conveyor,
calcomanias,Calcomanías,¿Las calcomanías especificadas actualmente están en buenas condiciones?,3,CBL,LOADER - BELT,Conveyor,
parosEmergencia,Paros de emergencia,¿Los paros de emergencia están en buenas condiciones y funcionando?,4,CBL,LOADER - BELT,Conveyor,
cinturonConductor,Cinturones de seguridad,¿Están colocados y funcionando los cinturones de seguridad?,5,CBL,LOADER - BELT,Conveyor,
gomaDelantera,Protección de goma delantera,"¿Hay protección de goma en la parte delantera, p. Ruedas de protección y ¿el estado es bueno?",6,CBL,LOADER - BELT,Conveyor,
sistemaAproximacion,Sistema de aproximación,¿Existe un sistema de aproximación de aeronaves instalado y en funcionamiento? Aplicable desde 2017,7,CBL,LOADER - BELT,Conveyor,
luces,Luces,¿Las luces están en buenas condiciones y funcionan [incluidas las luces de freno]?,8,CBL,LOADER - BELT,Conveyor,
lucesAlarmaReversa,Luces y alarma de reversa,¿Funciona la luz y alarma de reversa?,9,CBL,LOADER - BELT,Conveyor,
bocina,Bocina (pito),¿Funciona la bocina(pito)?,10,CBL,LOADER - BELT,Conveyor,
controlesInternos,Controles internos,"¿Están los controles internos en buenas condiciones, p. ¿Interruptores, instrumentos, palancas, etc.?",11,CBL,LOADER - BELT,Conveyor,
aceleradorCorreas,Acelerador y correas WASP/FAST,"¿Está funcionando el control del acelerador en el conveyor, incluidas las correas WASP/FAST?",12,CBL,LOADER - BELT,Conveyor,
frenos,Frenos,¿Están funcionando los frenos (incluido el freno de pedal/estacionamiento)?,13,CBL,LOADER - BELT,Conveyor,
barandelasExtension,Barandales con extensiones,¿Hay barandales equipados con extensiones para mitigar el espacio con el fuselaje en ambos lados?,14,CBL,LOADER - BELT,Conveyor,
pasamanos,Pasamanos,¿Funcionan los pasamanos plegables/desplegables [cuando corresponda]?,15,CBL,LOADER - BELT,Conveyor,
direccion,Dirección,¿Está funcionando correctamente la dirección?,16,CBL,LOADER - BELT,Conveyor,
neumaticos,Neumáticos,"¿Están los neumáticos en buenas condiciones, por ejemplo, dibujo, paredes laterales, inflado, etc.?",17,CBL,LOADER - BELT,Conveyor,
